"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2020.08.05 8:15 PM GMT","Circuit de Barcelona Catalunya - Grand Prix","IMSA Michelin Pilot Challenge","2020","3","N/A","9","2450",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","395706","395706","Jamie Moone","2","4","0","Running","-00.000","16","","1:55.318","1:54.346","4","24","10","145","20","1","36","UK and I","5088","5128","19","348","19","329","IMSA Michelin Pilot Challenge","100","0","145"
"2","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","250987","250987","Nils Lorenz","1","2","0","Running","-07.287","8","","1:55.622","1:54.301","4","24","11","137","18","1","42","DE-AT-CH","6661","6673","20","485","20","444","IMSA Michelin Pilot Challenge","100","0","137"
"3","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","338077","338077","Toni Reunanen","3","7","0","Running","-15.637","0","","1:55.970","1:54.681","4","24","5","130","16","2","44","Finland","3906","3947","17","166","17","193","IMSA Michelin Pilot Challenge","100","0","130"
"4","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","467622","467622","Roger Fjeldstad Kristiansen","6","22","0","Running","-25.593","0","","1:56.385","1:54.704","2","24","3","123","14","3","43","Scandinavia","1854","1940","18","226","18","254","IMSA Michelin Pilot Challenge","100","0","123"
"5","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","121083","121083","Ben Kelly-McAuley","4","6","0","Running","-41.889","0","","1:57.064","1:55.529","3","24","8","116","12","2","36","UK and I","4025","4045","20","435","20","421","IMSA Michelin Pilot Challenge","100","0","116"
"6","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","509435","509435","Oliver Bailey","8","13","0","Running","-45.672","0","","1:57.221","1:56.030","4","24","2","108","10","3","36","UK and I","2710","2751","15","316","15","338","IMSA Michelin Pilot Challenge","100","0","108"
"7","122","BMW M4 GT4","2268","GT4 Class","349594","349594","Robin Stoll","10","8","0","Running","-1:04.714","0","","1:58.014","1:56.241","5","24","9","101","8","1","42","DE-AT-CH","3567","3577","20","499","20","462","IMSA Michelin Pilot Challenge","100","0","101"
"8","122","BMW M4 GT4","2268","GT4 Class","535122","535122","Antonio vargas López","17","24","0","Running","-1:13.799","0","","1:58.393","1:57.056","5","24","1","94","6","3","38","Iberia","1786","1836","12","471","12","485","IMSA Michelin Pilot Challenge","100","0","94"
"9","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","527007","527007","Anders Lillejordet","13","28","0","Running","-1:24.787","0","","1:58.851","1:57.461","18","24","0","87","4","5","43","Scandinavia","1682","1726","19","371","19","395","IMSA Michelin Pilot Challenge","100","0","87"
"10","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","400435","400435","Sigmund Øvereng","16","18","0","Running","-1:30.649","0","","1:59.095","1:57.425","2","24","7","79","2","3","43","Scandinavia","1944","1969","19","301","19","304","IMSA Michelin Pilot Challenge","100","0","79"
