"Start Time","Track","Series","Hosted Session Name"
"2020.11.29 11:25 AM GMT","Sebring International Raceway - International","Hosted iRacing","24HE / Round 2 / Race"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","72","Mercedes AMG GT3","473","IMSA2 GT3","-141071","-141071","Ronin SimSport","2","78","0","Running","-00.000","69","","2:02.237","1:59.838","143","176","16","","","100","0","24HE / Round 2 / Race"
"1","72","Mercedes AMG GT3","473","IMSA2 GT3","-141071","19446","Vincenzo Amico","2","78","0","Running","-","27","","2:02.297","1:59.866","80","58","9","36","UK and I","100","0","24HE / Round 2 / Race"
"1","72","Mercedes AMG GT3","473","IMSA2 GT3","-141071","29769","Filip Mitrevski","2","78","0","Running","-","42","","2:02.208","1:59.838","143","118","7","46","Central-Eastern Europe","100","0","24HE / Round 2 / Race"
"2","73","Audi R8 LMS","473","IMSA2 GT3","-39979","-39979","Biela Racing Team EURONICS I","14","45","0","Running","-10.981","0","","2:02.320","1:59.885","20","176","17","","","100","0","24HE / Round 2 / Race"
"2","73","Audi R8 LMS","473","IMSA2 GT3","-39979","124872","Lukas Jestädt","14","45","0","Running","-","0","","2:02.160","2:00.025","54","58","4","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"2","73","Audi R8 LMS","473","IMSA2 GT3","-39979","313251","Sven Haase","14","45","0","Running","-","0","","2:02.397","1:59.885","20","118","13","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"3","73","Audi R8 LMS","473","IMSA2 GT3","-201813","-201813","Maniti Racing $NEO Red","1","8","0","Running","-20.654","41","","2:02.388","1:59.818","85","176","20","","","100","0","24HE / Round 2 / Race"
"3","73","Audi R8 LMS","473","IMSA2 GT3","-201813","302270","Tim Matzke","1","8","0","Running","-","41","","2:02.411","1:59.843","118","118","15","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"3","73","Audi R8 LMS","473","IMSA2 GT3","-201813","346317","Ruben Bonga","1","8","0","Running","-","0","","2:02.340","1:59.818","85","58","5","40","Benelux","100","0","24HE / Round 2 / Race"
"4","73","Audi R8 LMS","473","IMSA2 GT3","-129672","-129672","LEO RACING TEAM #12#","4","12","0","Running","-34.714","0","","2:03.136","1:59.684","120","176","16","","","100","0","24HE / Round 2 / Race"
"4","73","Audi R8 LMS","473","IMSA2 GT3","-129672","79322","Dino Lombardi2","4","12","0","Running","-","0","","2:03.081","1:59.773","50","84","12","41","Italy","100","0","24HE / Round 2 / Race"
"4","73","Audi R8 LMS","473","IMSA2 GT3","-129672","369995","Alessandro Bico","4","12","0","Running","-","0","","2:03.187","1:59.684","120","92","4","41","Italy","100","0","24HE / Round 2 / Race"
